feature,available_before_dqo,evidence_source
chem::CONDUCTIVIDAD ELECTRICA [ΜS/CM],,
chem::FOSFORO REACTIVO DISUELTO [MGP-PO4-3/L],,
chem::FOSFORO TOTAL [MGP/L],,
chem::NITRATO [MGN-NO3-/L],,
chem::NITRITO [MG/L],,
chem::NITROGENO AMONIACAL [MGN-NH3-/L],,
chem::NITROGENO KJELDAHL TOTAL [MGN/L],,
chem::OXIGENO DISUELTO (OD) [MGO2/L],,
chem::PH [UNIDADESDEPH],,
chem::SOLIDOS SUSPENDIDOS TOTALES [MG/L],,
chem::SULFATO [MGSO4-2/L],,
chem::TEMPERATURA [°C],,
chem::TURBIDEZ [NTU],,
